Projet Sakinah - Simulateur,,,,,,,,
,,,,,,,,
,,,Montant à renseigner qui doit être un multiple de 10 000 F CFA (le prix d'une obligation),,,,,
,,,,,,,,
,,1,Tranche A,,,,,
,,,,,,,,
,,,Montant,10 000 000,,,,
,,,Taux,"6,40%",,,,
,,,Maturité,3 ans,,,,
,,,Semestrialités,1,,,,
,,,Période de grâce,5,,,,
,,,,,,,,
,,,"Tableau d'amortissement de l'Emission A  ""Etat du Sénégal 6,40% 2025-2028""",,,,,
,,,"Périodes
(semestres)","Capital
début de période",Intérêts,Amortissement,Annuités,"Capital
fin de période"
,,,1,10 000 000,320 000,-,320 000,10 000 000
,,,2,10 000 000,320 000,-,320 000,10 000 000
,,,3,10 000 000,320 000,-,320 000,10 000 000
,,,4,10 000 000,320 000,-,320 000,10 000 000
,,,5,10 000 000,320 000,-,320 000,10 000 000
,,,6,10 000 000,320 000,10 000 000,40 000,-
,,,,,,,,
,,,,,1 920 000,10 000 000,1 640 000,
,,,,,,,,
,,2,Tranche B,,,,,
,,,,,,,,
,,,Montant,100 000,,,,
,,,Taux,"6,60%",,,,
,,,Maturité,5 ans,,,,
,,,Semestrialités,8,,,,
,,,Période de grâce,2,,,,
,,,,,,,,
,,,"Tableau d'amortissement de l'Emission B  ""Etat du Sénégal 6,60% 2025-2030""",,,,,
,,,"Périodes
(semestres)","Capital
début de période",Intérêts,Amortissement,Annuités,"Capital
fin de période"
,,,1,100 000,3 300,-,3 300,100 000
,,,2,100 000,3 300,-,3 300,100 000
,,,3,100 000,3 300,12 500,15 800,87 500
,,,4,87 500,2 888,12 500,15 388,75 000
,,,5,75 000,2 475,12 500,14 975,62 500
,,,6,62 500,2 063,12 500,14 563,50 000
,,,7,50 000,1 650,12 500,14 150,37 500
,,,8,37 500,1 238,12 500,13 738,25 000
,,,9,25 000,825,12 500,13 325,12 500
,,,10,12 500,413,12 500,23 444,-
,,,,,,,,
,,,,,21 450,100 000,131 982,
,,,,,,,,
,,3,Tranche C,,,,,
,,,,,,,,
,,,Montant,10 000 000,,,,
,,,Taux,"6,75%",,,,
,,,Maturité,7ans,,,,
,,,Semestrialités,10,,,,
,,,Période de grâce,4,,,,
,,,,,,,,
,,,"Tableau d'amortissement de l'Emission C  ""Etat du Sénégal 6,75% 2025-2032""",,,,,
,,,"Périodes
(semestres)","Capital
début de période",Intérêts,Amortissement,Annuités,"Capital
fin de période"
,,,1,10 000 000,337 500,-,337 500,10 000 000
,,,2,10 000 000,337 500,-,337 500,10 000 000
,,,3,10 000 000,337 500,-,337 500,10 000 000
,,,4,10 000 000,337 500,-,337 500,10 000 000
,,,5,10 000 000,337 500,1 000 000,1 337 500,9 000 000
,,,6,9 000 000,303 750,1 000 000,1 303 750,8 000 000
,,,7,8 000 000,270 000,1 000 000,1 270 000,7 000 000
,,,8,7 000 000,236 250,1 000 000,1 236 250,6 000 000
,,,9,6 000 000,202 500,1 000 000,1 202 500,5 000 000
,,,10,5 000 000,168 750,1 000 000,1 168 750,4 000 000
,,,11,4 000 000,135 000,1 000 000,1 135 000,3 000 000
,,,12,3 000 000,101 250,1 000 000,1 101 250,2 000 000
,,,13,2 000 000,67 500,1 000 000,1 067 500,1 000 000
,,,14,1 000 000,33 750,1 000 000,1 033 750,-
,,,,,,,,
,,,,,3 206 250,10 000 000,13 206 250,
,,,,,,,,
,,4,Tranche D,,,,,
,,,,,,,,
,,,Montant,10 000 000,,,,
,,,Taux,"6,95%",,,,
,,,Maturité,10 ans,,,,
,,,Semestrialités,16,,,,
,,,Période de grâce,4,,,,
,,,,,,,,
,,,"Tableau d'amortissement de l'Emission D  ""Etat du Sénégal 6,95% 2025-2035""",,,,,
,,,"Périodes
(semestres)","Capital
début de période",Intérêts,Amortissement,Annuités,"Capital
fin de période"
,,,1,10 000 000,347 500,-,347 500,10 000 000
,,,2,10 000 000,347 500,-,347 500,10 000 000
,,,3,10 000 000,347 500,-,347 500,10 000 000
,,,4,10 000 000,347 500,-,347 500,10 000 000
,,,5,10 000 000,347 500,625 000,972 500,9 375 000
,,,6,9 375 000,325 781,625 000,950 781,8 750 000
,,,7,8 750 000,304 063,625 000,929 063,8 125 000
,,,8,8 125 000,282 344,625 000,907 344,7 500 000
,,,9,7 500 000,260 625,625 000,885 625,6 875 000
,,,10,6 875 000,238 906,625 000,863 906,6 250 000
,,,11,6 250 000,217 188,625 000,842 188,5 625 000
,,,12,5 625 000,195 469,625 000,820 469,5 000 000
,,,13,5 000 000,173 750,625 000,798 750,4 375 000
,,,14,4 375 000,152 031,625 000,777 031,3 750 000
,,,15,3 750 000,130 313,625 000,755 313,3 125 000
,,,16,3 125 000,108 594,625 000,733 594,2 500 000
,,,17,2 500 000,86 875,625 000,711 875,1 875 000
,,,18,1 875 000,65 156,625 000,690 156,1 250 000
,,,19,1 250 000,43 438,625 000,668 438,625 000
,,,20,625 000,21 719,625 000,78,-
,,,,,,,,
,,,,,4 343 750,10 000 000,13 697 109,
